,Game,Price,Genres,IGN_score,Release Date,Player Sentiment,Positive Reviews [%],No. of Reviews
116,Eldest Souls,16.99," Action, Adventure, Indie, RPG",8.0,2021-07-29,Very Positive,0.82,1396
117,Observer: System Redux,23.79," Adventure, Indie",8.0,2020-11-10,Very Positive,0.87,1033
118,The Forgotten City,19.49," Adventure, Indie, RPG",9.0,2021-07-28,Overwhelmingly Positive,0.97,5248
119,Samurai Warriors 5,54.99, Action,7.0,2021-07-27,Very Positive,0.83,887
120,Cris Tales,34.99," Action, Adventure, RPG",7.0,2021-07-20,Mixed,0.66,235
121,Last Stop,19.49," Adventure, Indie",6.0,2021-07-22,Mostly Positive,0.72,124
122,Death's Door,16.79," Action, Adventure, Indie, RPG",9.0,2021-07-20,Very Positive,0.94,9822
123,"Warhammer 40,000: Battlesector",30.99, Strategy,8.0,2021-07-22,Very Positive,0.9,2418
124,Wildermyth,14.61," Indie, RPG, Strategy",9.0,2021-06-15,Overwhelmingly Positive,0.95,11745
125,Old World,34.99," Simulation, Strategy",8.0,2022-05-19,Mostly Positive,0.78,979
126,Roguebook,11.99," Adventure, Indie, RPG, Strategy",7.0,2021-06-17,Very Positive,0.84,1937
127,Sniper Elite VR,22.99," Action, Adventure",6.0,2021-07-08,Mixed,0.59,502
128,F1 2021,49.99," Racing, Simulation, Sports",8.0,2021-07-15,Very Positive,0.86,25037
129,Monster Hunter Stories 2: Wings of Ruin,49.99," Adventure, RPG",8.0,2021-07-09,Very Positive,0.8,8864
130,Scarlet Nexus,39.99," Action, Adventure, RPG",8.0,2021-06-24,Very Positive,0.85,8039
131,Legend of Mana,24.99," Action, RPG",7.0,2021-06-24,Very Positive,0.82,668
132,Dungeons & Dragons: Dark Alliance,23.79," Action, RPG",4.0,2021-06-22,Mixed,0.5,3591
133,Chivalry 2,35.99, Action,9.0,2022-06-12,Very Positive,0.82,9732
134,Sniper Ghost Warrior Contracts 2,34.99, Action,6.0,2021-06-04,Very Positive,0.85,4952
135,Griftlands,15.49, Indie,9.0,2021-06-01,Overwhelmingly Positive,0.95,11267
136,Chicory: A Colorful Tale,15.49," Adventure, Indie, RPG",9.0,2021-06-10,Overwhelmingly Positive,0.97,1506
137,Operation: Tango,15.49," Adventure, Casual",7.0,2021-06-01,Very Positive,0.89,3852
138,Warhammer Age of Sigmar: Storm Ground,17.99, Strategy,5.0,2021-05-26,Mixed,0.63,732
139,Guilty Gear Strive,54.99, Action,9.0,2021-06-11,Very Positive,0.92,19485
140,Wonder Boy: Asha in Monster World,31.49," Action, RPG",5.0,2021-06-29,Mostly Positive,0.78,75
141,Necromunda: Hired Gun,34.99," Action, Adventure",5.0,2021-05-31,Mostly Positive,0.71,3909
142,Knockout City,0.0," Action, Adventure, Free to Play, Indie, Sports",9.0,2021-05-21,Very Positive,0.86,7000
143,Iron Harvest: Operation Eagle,17.99, Strategy,7.0,2021-05-27,Mostly Positive,0.72,139
144,Biomutant,54.99," Action, RPG",6.0,2021-05-25,Mixed,0.67,11018
145,Subnautica: Below Zero,24.99," Adventure, Indie",9.0,2021-05-14,Very Positive,0.91,61780
146,Total War: Rome Remastered,24.99, Strategy,7.0,2021-04-29,Mostly Positive,0.73,7462
147,NieR Replicant Ver. 1.22474487139,49.99," Action, Adventure, RPG",8.0,2021-04-23,Very Positive,0.88,13556
148,Oddworld: Soulstorm,29.99," Action, Adventure, Indie",7.0,2022-06-21,Mixed,0.65,69
149,Arkham Horror: Mother's Embrace,15.99," Adventure, RPG",5.0,2021-03-23,Mixed,0.62,462
150,Disco Elysium - The Final Cut,34.99, RPG,10.0,2019-10-15,Very Positive,0.94,53729
151,Balan Wonderworld,29.99, Action,4.0,2021-03-26,Mixed,0.63,220
152,Can’t Drive This,15.99," Action, Casual, Indie, Racing",7.0,2021-03-19,Very Positive,0.81,177
153,Narita Boy,19.99," Adventure, Indie",6.0,2021-03-30,Very Positive,0.84,489
154,Evil Genius 2: World Domination,34.99," Simulation, Strategy",6.0,2021-03-30,Mixed,0.66,8374
155,Doom Eternal: The Ancient Gods Part 2,15.99, Action,8.0,2021-03-18,Mixed,0.63,3494
156,Loop Hero,12.49," Indie, RPG, Strategy",8.0,2021-03-04,Very Positive,0.93,26719
157,The Outer Worlds: Murder on Eridanos DLC,11.99, RPG,7.0,2021-03-17,Very Positive,0.87,154
158,Apex Legends,0.0," Action, Adventure, Free to Play",9.0,2020-11-05,Very Positive,0.86,476782
159,Dead By Daylight,14.99, Action,9.0,2016-06-14,Very Positive,0.81,432713
160,Cyanide & Happiness - Freakpocalypse,15.49," Adventure, Casual, Indie",5.0,2021-03-11,Mixed,0.57,820
161,Monster Energy Supercross – The Official Videogame 4,29.99," Racing, Simulation, Sports",6.0,2021-03-11,Mixed,0.67,404
162,Stronghold Warlords,29.99," Simulation, Strategy",7.0,2021-03-09,Mixed,0.63,2765
163,Monster Jam Steel Titans 2,24.99," Racing, Sports",5.0,2021-03-02,Mostly Positive,0.73,138
164,Breathedge,19.99," Action, Adventure, Indie, Simulation",5.0,2021-02-25,Very Positive,0.85,11099
165,Maquette,15.49," Adventure, Indie",7.0,2021-03-02,Mixed,0.69,416
166,Curse of the Dead Gods,17.99," Action, Adventure",9.0,2021-02-23,Very Positive,0.87,5084
167,Valheim,15.49," Action, Adventure, Indie, RPG, Early Access",9.0,2021-02-02,Overwhelmingly Positive,0.95,303665
168,Werewolf: The Apocalypse - Earthblood,14.99," Action, Adventure",4.0,2022-02-07,Mostly Positive,0.7,157
169,Blue Fire,15.49," Action, Adventure, Indie",8.0,2021-02-04,Very Positive,0.84,1044
170,The Last Campfire,11.39," Adventure, Indie",9.0,2021-10-07,Overwhelmingly Positive,0.97,2091
171,Olija,11.99," Action, Adventure, Indie",7.0,2021-01-28,Very Positive,0.91,450
172,Skul: The Hero Slayer,15.49," Action, Indie",8.0,2021-01-20,Very Positive,0.93,30247
