,Game,Price,Genres,IGN_score,Release Date,Player Sentiment,Positive Reviews [%],No. of Reviews
311,Telling Lies,15.49," Adventure, Indie, Simulation",9.0,2019-08-23,Mixed,0.66,880
312,Remnant: From the Ashes,30.99," Action, Adventure, RPG",8.0,2019-08-20,Very Positive,0.85,35138
313,Far: Lone Sails,11.39," Action, Adventure, Indie",9.0,2018-05-17,Very Positive,0.94,10151
314,Darq,15.49," Action, Adventure, Indie",7.5,2019-08-15,Very Positive,0.93,2948
315,Ion Fury,19.49," Action, Indie",7.5,2019-08-15,Very Positive,0.94,4239
316,Rebel Galaxy Outlaw,23.79," Action, Adventure, Indie, RPG, Simulation",8.0,2020-09-22,Mixed,0.66,573
317,Age of Wonders: Planetfall,41.99, Strategy,8.4,2019-08-06,Very Positive,0.8,3893
318,Mutant Year Zero: Seed of Evil DLC,12.99," RPG, Strategy",7.1,2019-07-30,Mostly Positive,0.75,166
319,Wolfenstein: Youngblood,15.99, Action,6.5,2019-07-25,Mixed,0.47,8558
320,Sea of Solitude,17.99, Adventure,6.5,2019-07-05,Very Positive,0.84,683
321,Steel Division 2,34.99," Action, Indie, Simulation, Strategy",6.9,2019-06-20,Mostly Positive,0.78,5235
322,Bloodstained: Ritual of the Night,34.99," Action, Adventure, RPG",8.8,2019-06-18,Very Positive,0.94,22829
323,The Sinking City,6.99," Action, Adventure, RPG",7.8,2021-02-26,Mostly Positive,0.72,1070
324,Forza Horizon 4: LEGO Speed Champions,14.99, Racing,7.8,2021-03-09,Very Positive,0.86,253
325,My Friend Pedro,15.49," Action, Indie",8.5,2019-06-20,Overwhelmingly Positive,0.96,21073
326,Borderlands 2: Commander Lilith and the Fight for Sanctuary DLC,11.99," Action, RPG",8.9,2019-06-09,Mixed,0.44,324
327,Warhammer: Chaosbane,6.24," Action, Adventure, RPG",8.7,2019-05-31,Mixed,0.56,2411
328,Outer Wilds,19.49," Action, Adventure",8.4,2020-06-18,Overwhelmingly Positive,0.95,34185
329,Beat Saber,23.79, Indie,9.5,2019-05-21,Overwhelmingly Positive,0.96,58009
330,Layers of Fear 2,15.49," Adventure, Casual, Indie",9.0,2019-05-28,Mostly Positive,0.72,1739
331,Mordhau,23.79," Action, Indie",8.2,2019-04-29,Very Positive,0.81,83644
332,Total War: Three Kingdoms,44.99," Action, Strategy",9.3,2019-05-23,Very Positive,0.82,50368
333,Rage 2,34.99, Action,8.0,2019-05-14,Mixed,0.62,12477
334,Close to the Sun,15.99," Adventure, Indie",7.2,2020-05-05,Mostly Positive,0.74,403
335,Risk of Rain 2,19.99," Action, Indie",9.0,2020-08-11,Overwhelmingly Positive,0.96,137777
336,Imperator: Rome,34.99," Simulation, Strategy",8.0,2019-04-25,Mixed,0.58,15767
337,World War Z,30.99, Action,7.4,2021-09-21,Very Positive,0.84,6189
338,Katana Zero,11.39," Action, Indie",8.7,2019-04-18,Overwhelmingly Positive,0.98,42641
339,Pathway,12.99," Adventure, Indie, RPG, Strategy",7.0,2019-04-11,Mostly Positive,0.75,1652
340,Outward,37.99, RPG,5.0,2022-05-17,Mostly Positive,0.74,15721
341,Phoenix Wright: Ace Attorney Trilogy,29.99, Adventure,7.5,2019-04-09,Overwhelmingly Positive,0.97,12983
342,Tropico 6,34.99," Simulation, Strategy",7.3,2019-03-29,Very Positive,0.87,14133
343,Assassin's Creed 3 Remastered,33.99," Action, Adventure",7.8,2019-03-29,Mixed,0.56,5765
344,Generation Zero,21.49," Action, Adventure",4.0,2019-03-26,Mostly Positive,0.73,17056
345,The Walking Dead: The Final Season,18.99, Adventure,7.5,2018-08-14,Very Positive,0.94,11007
346,Sekiro: Shadows Die Twice,49.9," Action, Adventure",9.5,2019-03-21,Very Positive,0.94,132517
347,Left Alive,44.99, Action,3.8,2019-03-05,Mostly Negative,0.26,488
348,The Occupation,19.99," Adventure, Indie",5.9,2019-03-05,Mostly Positive,0.71,135
349,Ape Out,10.99," Action, Indie",8.8,2019-02-28,Very Positive,0.94,2124
350,Trials Rising,16.99, Racing,7.9,2019-02-26,Mixed,0.65,1970
351,Dirt Rally 2.0,17.99," Racing, Simulation, Sports",8.5,2019-02-26,Very Positive,0.86,20993
352,Far Cry New Dawn,37.99," Action, Adventure",7.5,2019-02-15,Mostly Positive,0.76,20818
353,Metro Exodus,24.99, Action,8.5,2019-02-14,Very Positive,0.88,65189
354,Civilization VI: Gathering Storm,34.99, Strategy,8.5,2019-02-14,Mixed,0.67,2123
355,Wargroove,15.99," Indie, Strategy",8.5,2019-02-01,Very Positive,0.85,3465
356,My Time at Portia,24.99," Adventure, Casual, Indie, RPG, Simulation",8.0,2019-01-15,Very Positive,0.92,29178
357,Slay the Spire,19.49," Indie, Strategy",9.0,2019-01-23,Overwhelmingly Positive,0.97,96878
358,The Hong Kong Massacre,15.49," Action, Indie",7.9,2019-01-22,Mostly Positive,0.77,682
359,Resident Evil 2,34.99, Action,9.0,2019-01-25,Overwhelmingly Positive,0.97,71808
360,Atlas,23.79," Action, Adventure, Massively Multiplayer, RPG, Early Access",4.8,2018-12-22,Mixed,0.46,34982
361,Onimusha: Warlords,15.99, Action,6.5,2019-01-15,Very Positive,0.93,1288
362,Insurgency: Sandstorm,25.99, Action,8.8,2018-12-12,Very Positive,0.86,74047
363,Forza Horizon 4: Fortune Island,14.99, Racing,8.7,2021-03-09,Very Positive,0.88,401
364,Ring of Elysium,0.0," Action, Free to Play, Massively Multiplayer",8.5,2018-09-19,Mostly Positive,0.74,100104
365,Gris,14.49," Adventure, Indie",6.5,2018-12-13,Overwhelmingly Positive,0.96,48330
366,Hades,19.49," Action, Indie, RPG",8.8,2020-09-17,Overwhelmingly Positive,0.98,176976
367,Artifact,0.0, Strategy,8.5,2018-11-28,Mixed,0.46,24809
368,Katamari Damacy Reroll,15.99," Action, Casual",8.8,2018-12-06,Very Positive,0.92,2982
369,Ashen,30.99," Action, Adventure, RPG",8.5,2019-12-09,Mostly Positive,0.7,2251
370,Mutant Year Zero: Road to Eden,29.99," RPG, Strategy",7.9,2018-12-04,Very Positive,0.9,11187
371,Just Cause 4,33.37," Action, Adventure",7.9,2018-12-04,Mixed,0.63,15881
372,Underworld Ascendant,24.99," Action, Adventure, Indie, RPG",3.0,2018-11-15,Mixed,0.42,599
373,Darksiders III,44.99," Action, Adventure, RPG",7.0,2018-11-27,Mostly Positive,0.75,8481
374,Fallout 76,34.99, RPG,5.0,2020-04-14,Mostly Positive,0.76,36502
375,Battlefield V,44.99, Action,7.5,2018-11-09,Mostly Positive,0.7,95281
376,Hitman 2,0.0, Action,7.7,2018-11-13,Very Positive,0.92,28919
377,The Quiet Man,11.99, Action,5.5,2018-11-01,Mostly Negative,0.35,473
378,Call of Cthulhu,17.99," Adventure, RPG",8.6,2018-10-29,Mostly Positive,0.78,6760
379,Thronebreaker: The Witcher Tales,16.99," Adventure, RPG",9.4,2018-11-09,Very Positive,0.89,11848
380,Return of the Obra Dinn,15.49," Adventure, Indie",9.2,2018-10-18,Overwhelmingly Positive,0.96,15464
381,The Missing: J.J. Macfield and the Island of Memories,23.99," Action, Adventure, Indie",8.0,2018-10-11,Very Positive,0.89,871
382,LEGO DC Super-Villains,34.99," Action, Adventure",7.8,2018-10-16,Very Positive,0.9,3069
383,Pathfinder: Kingmaker,15.99, RPG,6.8,2018-09-25,Mostly Positive,0.78,21908
